"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Bike.Key"
"0h 4m 31s","6/19/2012 11:37","6/19/2012 11:42","18th St & Pennsylvania Ave NW","14th & G St NW","W00315","Registered"
"0h 4m 51s","4/4/2012 13:42","4/4/2012 13:47","13th St & New York Ave NW","7th & F St NW / National Portrait Gallery","W00221","Registered"
"0h 11m 24s","5/23/2012 19:01","5/23/2012 19:13","19th & East Capitol St SE","3rd & D St SE","W20120","Casual"
"0h 5m 7s","4/4/2012 18:43","4/4/2012 18:48","Massachusetts Ave & Dupont Circle NW","21st & M St NW","W00995","Registered"
"0h 26m 51s","5/30/2012 22:10","5/30/2012 22:37","20th St & Florida Ave NW","Thomas Circle","W01047","Registered"
"0h 8m 50s","5/14/2012 22:24","5/14/2012 22:33","15th & P St NW","California St & Florida Ave NW","W01412","Registered"
"0h 11m 43s","6/21/2012 7:40","6/21/2012 7:52","16th & Harvard St NW","14th & Rhode Island Ave NW","W00866","Registered"
"0h 14m 7s","4/1/2012 11:13","4/1/2012 11:27","14th & V St NW","4th St & Massachusetts Ave NW","W00551","Registered"
"0h 7m 43s","4/13/2012 17:48","4/13/2012 17:56","New Hampshire Ave & T St NW [formerly 16th & U St NW]","Adams Mill & Columbia Rd NW","W00991","Registered"
"0h 1m 21s","5/8/2012 17:53","5/8/2012 17:55","Connecticut Ave & Newark St NW / Cleveland Park","Connecticut Ave & Newark St NW / Cleveland Park","W00105","Registered"
"0h 3m 22s","5/2/2012 16:57","5/2/2012 17:00","Eastern Market / 7th & North Carolina Ave SE","Lincoln Park / 13th & East Capitol St NE ","W00579","Registered"
"0h 16m 7s","5/28/2012 21:06","5/28/2012 21:22","Convention Center / 7th & M St NW","12th & Newton St NE","W00207","Registered"
"0h 5m 25s","4/5/2012 21:02","4/5/2012 21:08","10th & U St NW","Georgia Ave and Fairmont St NW","W00759","Registered"
"0h 0m 34s","5/20/2012 6:31","5/20/2012 6:32","15th & P St NW","15th & P St NW","W00495","Registered"
"0h 7m 56s","4/1/2012 6:51","4/1/2012 6:59","4th St & Massachusetts Ave NW","McPherson Square - 14th & H St NW","W01214","Registered"
"0h 1m 46s","4/4/2012 18:24","4/4/2012 18:25","25th St & Pennsylvania Ave NW","M St & Pennsylvania Ave NW","W01350","Registered"
"0h 40m 39s","5/10/2012 8:37","5/10/2012 9:17","19th St & Pennsylvania Ave NW","Jefferson Dr & 14th St SW","W20082","Casual"
"0h 8m 55s","5/16/2012 7:45","5/16/2012 7:54","17th & Corcoran St NW","14th & G St NW","W01114","Registered"
"0h 7m 5s","6/14/2012 13:42","6/14/2012 13:49","18th St & Pennsylvania Ave NW","20th & O St NW / Dupont South","W00152","Registered"
"0h 8m 31s","4/12/2012 5:46","4/12/2012 5:54","7th & R St NW / Shaw Library","7th & F St NW / National Portrait Gallery","W00514","Registered"
"0h 14m 36s","5/22/2012 12:19","5/22/2012 12:33","Adams Mill & Columbia Rd NW","1st & Rhode Island Ave NW","W01102","Registered"
"0h 5m 56s","4/29/2012 14:33","4/29/2012 14:39","15th & P St NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W00866","Registered"
"0h 27m 9s","5/1/2012 21:18","5/1/2012 21:45","15th & Hayes St","4th & M St SW","W00102","Registered"
"0h 10m 43s","5/14/2012 17:18","5/14/2012 17:29","Thomas Circle","14th & Harvard St NW","W01164","Registered"
"0h 6m 47s","4/16/2012 12:57","4/16/2012 13:04","19th & L St NW","15th & P St NW","W01431","Casual"
"0h 29m 52s","4/20/2012 14:39","4/20/2012 15:09","Jefferson Dr & 14th St SW","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W00892","Casual"
"0h 21m 55s","5/31/2012 18:20","5/31/2012 18:42","10th St & Constitution Ave NW","Adams Mill & Columbia Rd NW","W00135","Registered"
"0h 35m 48s","5/23/2012 14:07","5/23/2012 14:42","4th & East Capitol St NE","18th St & Pennsylvania Ave NW","W00454","Casual"
"0h 7m 55s","6/18/2012 20:26","6/18/2012 20:34","17th & K St NW [formerly 17th & L St NW]","Convention Center / 7th & M St NW","W01370","Registered"
"1h 35m 33s","4/7/2012 11:55","4/7/2012 13:31","4th & D St NW / Judiciary Square","4th St & Massachusetts Ave NW","W00242","Casual"
"0h 3m 33s","5/2/2012 8:37","5/2/2012 8:40","14th & Rhode Island Ave NW","14th & R St NW","W01141","Registered"
"0h 10m 50s","4/2/2012 17:33","4/2/2012 17:44","17th & Rhode Island Ave NW","14th & V St NW","W00845","Registered"
"0h 6m 32s","4/13/2012 8:13","4/13/2012 8:19","4th & East Capitol St NE","3rd & H St NE","W01250","Registered"
"0h 7m 35s","4/6/2012 9:18","4/6/2012 9:25","Columbia Rd & Belmont St NW","M St & Pennsylvania Ave NW","W00247","Registered"
"0h 11m 21s","4/17/2012 17:09","4/17/2012 17:20","5th & F St NW","15th & P St NW","W00419","Registered"
"0h 51m 4s","5/10/2012 18:20","5/10/2012 19:11","Jefferson Dr & 14th St SW","Jefferson Dr & 14th St SW","W01338","Casual"
"0h 10m 30s","4/19/2012 20:13","4/19/2012 20:23","Georgia & New Hampshire Ave NW","10th & U St NW","W00822","Registered"
"0h 11m 8s","5/7/2012 8:14","5/7/2012 8:25","14th & V St NW","21st & M St NW","W00231","Registered"
"0h 15m 8s","5/31/2012 10:26","5/31/2012 10:41","4th St & Massachusetts Ave NW","14th & D St NW / Ronald Reagan Building","W00243","Registered"
"0h 21m 2s","5/6/2012 16:52","5/6/2012 17:13","Jefferson Dr & 14th St SW","17th & Corcoran St NW","W01010","Casual"
"0h 8m 7s","4/2/2012 8:38","4/2/2012 8:46","Jefferson Dr & 14th St SW","Maryland & Independence Ave SW","W00613","Casual"
"0h 50m 7s","5/24/2012 13:56","5/24/2012 14:46","Thomas Circle","Thomas Circle","W00895","Registered"
"0h 23m 12s","5/4/2012 14:13","5/4/2012 14:36","L'Enfant Plaza / 7th & C St SW","Georgetown Harbor / 30th St NW","W01309","Registered"
"0h 13m 8s","5/16/2012 16:12","5/16/2012 16:25","L'Enfant Plaza / 7th & C St SW","1st & M St NE","W00545","Registered"
"0h 7m 54s","5/21/2012 21:31","5/21/2012 21:39","Park Rd & Holmead Pl NW","17th & Corcoran St NW","W20048","Registered"
"0h 43m 6s","4/2/2012 22:06","4/2/2012 22:49","19th & E Street NW","19th & E Street NW","W00649","Casual"
"0h 33m 24s","6/30/2012 14:46","6/30/2012 15:19","Georgetown Harbor / 30th St NW","New York Ave & 15th St NW","W01436","Registered"
"0h 18m 49s","4/9/2012 10:23","4/9/2012 10:42","17th & Rhode Island Ave NW","New York Ave & 15th St NW","W00389","Registered"
"0h 14m 46s","4/14/2012 18:06","4/14/2012 18:21","Ward Circle / American University","Van Ness Metro / UDC","W00217","Registered"
"0h 23m 15s","5/5/2012 6:52","5/5/2012 7:15","Potomac & Pennsylvania Ave SE","Potomac & Pennsylvania Ave SE","W01188","Registered"
"0h 19m 33s","6/14/2012 17:47","6/14/2012 18:06","Jefferson Memorial","Georgetown Harbor / 30th St NW","W01178","Casual"
"0h 34m 8s","5/2/2012 11:14","5/2/2012 11:49","16th & Harvard St NW","10th St & Constitution Ave NW","W00470","Registered"
"0h 25m 39s","6/24/2012 14:10","6/24/2012 14:36","Jefferson Dr & 14th St SW","19th St & Constitution Ave NW","W00651","Casual"
"0h 5m 14s","4/10/2012 8:02","4/10/2012 8:08","14th & V St NW","Thomas Circle","W01384","Registered"
"0h 25m 24s","6/30/2012 12:49","6/30/2012 13:14","Eastern Market Metro / Pennsylvania Ave & 7th St SE","25th St & Pennsylvania Ave NW","W20093","Registered"
"0h 19m 58s","5/29/2012 15:16","5/29/2012 15:36","M St & New Jersey Ave SE","14th & G St NW","W01285","Registered"
"0h 28m 50s","4/9/2012 9:36","4/9/2012 10:04","Harvard St & Adams Mill Rd NW","20th & O St NW / Dupont South","W00362","Registered"
"0h 11m 5s","4/4/2012 21:51","4/4/2012 22:03","15th & P St NW","Massachusetts Ave & Dupont Circle NW","W00926","Registered"
"0h 22m 30s","6/20/2012 20:32","6/20/2012 20:55","USDA / 12th & Independence Ave SW","New York Ave & 15th St NW","W01461","Casual"
"0h 23m 50s","5/22/2012 21:06","5/22/2012 21:30","7th & F St NW / National Portrait Gallery","New York Ave & 15th St NW","W00379","Casual"
"0h 16m 39s","6/10/2012 1:10","6/10/2012 1:27","17th & K St NW / Farragut Square","3rd & D St SE","W00209","Registered"
"0h 2m 31s","6/12/2012 17:28","6/12/2012 17:31","North Capitol St & F St NW","North Capitol St & F St NW","W00378","Registered"
"0h 16m 25s","6/14/2012 17:39","6/14/2012 17:55","North Capitol St & F St NW","New York Ave & 15th St NW","W00455","Registered"
"7h 25m 49s","5/24/2012 8:25","5/24/2012 15:50","13th St & New York Ave NW","19th & E Street NW","W20108","Registered"
"0h 4m 18s","4/20/2012 23:49","4/20/2012 23:54","New Hampshire Ave & T St NW [formerly 16th & U St NW]","Massachusetts Ave & Dupont Circle NW","W00224","Registered"
"0h 13m 49s","4/1/2012 10:55","4/1/2012 11:09","Calvert St & Woodley Pl NW","15th & P St NW","W01313","Registered"
"0h 6m 17s","6/17/2012 12:48","6/17/2012 12:54","7th & R St NW / Shaw Library","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W00673","Registered"
"0h 13m 13s","4/24/2012 17:06","4/24/2012 17:19","Florida Ave & R St NW","4th & D St NW / Judiciary Square","W01088","Registered"
"0h 7m 47s","4/7/2012 20:40","4/7/2012 20:48","Adams Mill & Columbia Rd NW","Massachusetts Ave & Dupont Circle NW","W00346","Registered"
"0h 10m 28s","4/30/2012 12:39","4/30/2012 12:49","7th & R St NW / Shaw Library","20th & O St NW / Dupont South","W00955","Registered"
"0h 20m 1s","6/3/2012 19:35","6/3/2012 19:55","US Dept of State / Virginia Ave & 21st St NW","14th & Rhode Island Ave NW","W01186","Casual"
"0h 6m 49s","4/16/2012 11:33","4/16/2012 11:40","Idaho Ave & Newark St NW [on 2nd District patio]","Ward Circle / American University","W00303","Registered"
"0h 29m 25s","6/23/2012 20:44","6/23/2012 21:13","Adams Mill & Columbia Rd NW","7th & F St NW / National Portrait Gallery","W01350","Registered"
"0h 34m 37s","4/9/2012 15:37","4/9/2012 16:12","Smithsonian / Jefferson Dr & 12th St SW","7th & F St NW / National Portrait Gallery","W01028","Casual"
"0h 19m 55s","5/21/2012 21:09","5/21/2012 21:29","McPherson Square - 14th & H St NW","Lincoln Park / 13th & East Capitol St NE ","W20100","Registered"
"0h 20m 54s","4/13/2012 19:02","4/13/2012 19:23","14th & Rhode Island Ave NW","11th & H St NE","W01306","Registered"
"0h 26m 57s","6/4/2012 17:44","6/4/2012 18:11","8th & H St NW","14th & V St NW","W00098","Casual"
"0h 10m 50s","6/28/2012 8:38","6/28/2012 8:49","12th & L St NW","19th & L St NW","W01271","Casual"
"0h 10m 14s","5/28/2012 14:16","5/28/2012 14:26","Massachusetts Ave & Dupont Circle NW","8th & H St NW","W00729","Casual"
"0h 16m 2s","5/25/2012 8:58","5/25/2012 9:14","Columbia Rd & Georgia Ave NW","1st & M St NE","W00613","Registered"
"0h 7m 1s","4/21/2012 7:54","4/21/2012 8:01","Georgia & New Hampshire Ave NW","Georgia Ave and Fairmont St NW","W00631","Registered"
"0h 11m 20s","4/15/2012 10:48","4/15/2012 10:59","Florida Ave & R St NW","17th & Rhode Island Ave NW","W00801","Registered"
"0h 13m 27s","5/7/2012 7:59","5/7/2012 8:13","14th & V St NW","4th St & Massachusetts Ave NW","W01054","Casual"
"0h 25m 2s","5/28/2012 10:46","5/28/2012 11:11","16th & Harvard St NW","10th St & Constitution Ave NW","W01144","Registered"
"0h 8m 57s","5/30/2012 19:50","5/30/2012 19:59","Adams Mill & Columbia Rd NW","Park Rd & Holmead Pl NW","W00562","Registered"
"0h 49m 30s","5/10/2012 8:43","5/10/2012 9:33","Massachusetts Ave & Dupont Circle NW","14th & D St NW / Ronald Reagan Building","W01055","Registered"
"0h 20m 11s","4/27/2012 22:04","4/27/2012 22:24","18th & M St NW","37th & O St NW / Georgetown University","W01189","Casual"
"0h 28m 57s","5/28/2012 12:25","5/28/2012 12:54","14th & Harvard St NW","1st & Rhode Island Ave NW","W00664","Registered"
"0h 13m 22s","4/26/2012 17:21","4/26/2012 17:35","7th & F St NW / National Portrait Gallery","10th & U St NW","W00414","Casual"
"0h 18m 52s","6/4/2012 17:17","6/4/2012 17:36","Glebe Rd & 11th St N","Lynn & 19th St North","W00541","Registered"
"0h 24m 36s","5/15/2012 18:20","5/15/2012 18:45","4th & E St SW","15th & Hayes St","W01435","Registered"
"0h 23m 55s","4/16/2012 20:25","4/16/2012 20:49","21st & I St NW","4th & E St SW","W00893","Registered"
"0h 14m 19s","4/20/2012 19:24","4/20/2012 19:38","Adams Mill & Columbia Rd NW","Georgia & New Hampshire Ave NW","W00425","Registered"
"0h 8m 2s","6/15/2012 13:06","6/15/2012 13:14","7th & F St NW / National Portrait Gallery","USDA / 12th & Independence Ave SW","W01069","Casual"
"0h 9m 20s","6/13/2012 7:25","6/13/2012 7:34","Columbus Circle / Union Station","M St & New Jersey Ave SE","W20069","Registered"
"0h 4m 34s","6/7/2012 18:39","6/7/2012 18:43","15th St & Massachusetts Ave SE","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W01209","Registered"
"0h 6m 55s","6/17/2012 19:20","6/17/2012 19:27","Eastern Market Metro / Pennsylvania Ave & 7th St SE","11th & H St NE","W00694","Registered"
"0h 8m 54s","6/27/2012 8:42","6/27/2012 8:51","17th & K St NW [formerly 17th & L St NW]","Georgetown Harbor / 30th St NW","W20096","Registered"
"0h 10m 22s","5/21/2012 17:09","5/21/2012 17:20","Convention Center / 7th & M St NW","17th & Corcoran St NW","W01375","Registered"
"0h 9m 17s","5/11/2012 10:02","5/11/2012 10:12","5th St & K St NW","Columbus Circle / Union Station","W01327","Registered"
"0h 3m 45s","6/4/2012 18:54","6/4/2012 18:58","14th & Harvard St NW","14th & V St NW","W00193","Registered"
"0h 5m 35s","4/12/2012 16:38","4/12/2012 16:44","21st & I St NW","19th St & Constitution Ave NW","W01130","Registered"
"0h 17m 38s","5/20/2012 16:07","5/20/2012 16:24","5th St & K St NW","Georgia & New Hampshire Ave NW","W01333","Registered"
"0h 9m 1s","5/24/2012 8:16","5/24/2012 8:26","Calvert St & Woodley Pl NW","Lamont & Mt Pleasant NW","W00978","Registered"
"0h 5m 54s","5/8/2012 9:42","5/8/2012 9:48","Thomas Circle","14th & D St NW / Ronald Reagan Building","W01177","Registered"
"0h 8m 50s","4/4/2012 6:54","4/4/2012 7:03","Columbus Circle / Union Station","USDA / 12th & Independence Ave SW","W00885","Registered"
"0h 29m 3s","5/15/2012 16:19","5/15/2012 16:48","1st & M St NE","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W01216","Casual"
"0h 9m 33s","6/1/2012 8:29","6/1/2012 8:38","1st & M St NE","5th St & K St NW","W00768","Registered"
"0h 9m 40s","4/16/2012 8:53","4/16/2012 9:03","1st & K St SE","L'Enfant Plaza / 7th & C St SW","W00411","Registered"
"0h 48m 29s","4/14/2012 22:29","4/14/2012 23:18","3rd & D St SE","Kennedy Center","W00518","Registered"
"0h 31m 49s","4/17/2012 11:05","4/17/2012 11:37","37th & O St NW / Georgetown University","19th St & Constitution Ave NW","W01463","Casual"
"0h 14m 54s","6/8/2012 13:16","6/8/2012 13:31","21st & I St NW","14th & R St NW","W00102","Registered"
"2h 23m 18s","5/1/2012 19:14","5/1/2012 21:38","Thomas Circle","17th & K St NW [formerly 17th & L St NW]","W01104","Casual"
"0h 37m 59s","5/25/2012 14:50","5/25/2012 15:28","3rd & D St SE","10th St & Constitution Ave NW","W01361","Casual"
"0h 8m 53s","4/15/2012 13:32","4/15/2012 13:41","7th & F St NW / National Portrait Gallery","Florida Ave & R St NW","W01011","Registered"
"0h 4m 45s","4/21/2012 23:05","4/21/2012 23:09","10th & U St NW","14th & R St NW","W01285","Registered"
"0h 4m 9s","6/4/2012 18:36","6/4/2012 18:40","17th & Rhode Island Ave NW","20th & O St NW / Dupont South","W00099","Registered"
"0h 19m 46s","6/23/2012 16:38","6/23/2012 16:58","19th St & Constitution Ave NW","Thomas Circle","W00852","Casual"
"0h 14m 53s","4/1/2012 11:50","4/1/2012 12:05","21st & I St NW","North Capitol St & F St NW","W00969","Casual"
"0h 2m 39s","4/20/2012 15:31","4/20/2012 15:34","Calvert St & Woodley Pl NW","Adams Mill & Columbia Rd NW","W01195","Registered"
"1h 28m 51s","6/19/2012 15:52","6/19/2012 17:21","Maryland & Independence Ave SW","Maryland & Independence Ave SW","W01052","Casual"
"0h 24m 54s","6/7/2012 21:39","6/7/2012 22:04","Adams Mill & Columbia Rd NW","Harvard St & Adams Mill Rd NW","W00112","Registered"
"0h 17m 23s","4/14/2012 21:53","4/14/2012 22:10","US Dept of State / Virginia Ave & 21st St NW","18th & M St NW","W00131","Casual"
"0h 9m 32s","6/24/2012 19:56","6/24/2012 20:06","20th St & Florida Ave NW","15th & P St NW","W01355","Registered"
"0h 7m 8s","4/1/2012 1:10","4/1/2012 1:17","20th St & Florida Ave NW","17th & Rhode Island Ave NW","W00996","Casual"
"0h 8m 24s","6/9/2012 12:37","6/9/2012 12:45","17th & Rhode Island Ave NW","25th St & Pennsylvania Ave NW","W00737","Registered"
"0h 6m 5s","6/5/2012 18:41","6/5/2012 18:47","14th & Rhode Island Ave NW","14th & V St NW","W20124","Casual"
"0h 13m 21s","5/24/2012 8:25","5/24/2012 8:39","1st & K St SE","10th St & Constitution Ave NW","W01253","Registered"
"0h 3m 45s","4/21/2012 13:38","4/21/2012 13:42","14th & R St NW","14th & V St NW","W01152","Registered"
"0h 4m 5s","4/7/2012 17:22","4/7/2012 17:26","Calvert St & Woodley Pl NW","Adams Mill & Columbia Rd NW","W01453","Registered"
"0h 4m 18s","5/17/2012 18:40","5/17/2012 18:44","Columbus Circle / Union Station","D St & Maryland Ave NE","W00649","Registered"
"0h 6m 13s","6/16/2012 11:32","6/16/2012 11:38","Adams Mill & Columbia Rd NW","Lamont & Mt Pleasant NW","W01070","Registered"
"0h 28m 56s","5/26/2012 14:44","5/26/2012 15:12","Massachusetts Ave & Dupont Circle NW","Convention Center / 7th & M St NW","W00128","Casual"
"0h 37m 22s","4/8/2012 13:57","4/8/2012 14:34","15th & P St NW","Eastern Market / 7th & North Carolina Ave SE","W00494","Casual"
"0h 7m 27s","5/13/2012 18:16","5/13/2012 18:24","4th & M St SW","M St & New Jersey Ave SE","W00550","Registered"
"0h 9m 20s","6/28/2012 22:23","6/28/2012 22:32","S Joyce & Army Navy Dr","12th & Army Navy Dr","W00788","Registered"
"0h 4m 4s","6/6/2012 11:43","6/6/2012 11:47","Adams Mill & Columbia Rd NW","20th St & Florida Ave NW","W00707","Casual"
"0h 15m 58s","4/13/2012 18:47","4/13/2012 19:03","19th St & Pennsylvania Ave NW","Convention Center / 7th & M St NW","W00066","Registered"
"0h 19m 59s","6/11/2012 17:19","6/11/2012 17:39","13th St & New York Ave NW","4th & M St SW","W00344","Registered"
"0h 12m 16s","4/30/2012 7:55","4/30/2012 8:07","Columbia Rd & Belmont St NW","US Dept of State / Virginia Ave & 21st St NW","W00670","Registered"
"0h 8m 35s","6/6/2012 11:17","6/6/2012 11:25","15th & P St NW","8th & H St NW","W00941","Registered"
"0h 11m 26s","6/14/2012 17:37","6/14/2012 17:48","Pennsylvania & Minnesota Ave SE","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20117","Registered"
"0h 6m 30s","6/16/2012 18:50","6/16/2012 18:57","Lincoln Park / 13th & East Capitol St NE ","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W01301","Registered"
"0h 15m 24s","5/2/2012 17:38","5/2/2012 17:54","25th St & Pennsylvania Ave NW","14th & V St NW","W01456","Registered"
"0h 7m 28s","6/8/2012 16:23","6/8/2012 16:31","13th St & New York Ave NW","4th St & Massachusetts Ave NW","W00149","Registered"
"0h 10m 37s","5/10/2012 14:48","5/10/2012 14:58","17th & Corcoran St NW","14th & Harvard St NW","W00158","Registered"
"0h 23m 22s","6/16/2012 12:02","6/16/2012 12:26","Thomas Circle","1st & N ST SE","W01158","Registered"
"0h 28m 16s","5/6/2012 12:58","5/6/2012 13:26","15th & N Scott St","Kennedy Center","W01152","Registered"
"0h 6m 30s","5/13/2012 15:08","5/13/2012 15:15","6th & H St NE","4th & East Capitol St NE","W00706","Registered"
"0h 18m 33s","4/8/2012 11:15","4/8/2012 11:33","7th & T St NW","21st & M St NW","W00178","Registered"
"0h 20m 10s","4/26/2012 13:48","4/26/2012 14:08","21st & M St NW","10th & U St NW","W00751","Registered"
"0h 6m 50s","4/27/2012 23:23","4/27/2012 23:30","17th & K St NW [formerly 17th & L St NW]","20th & E St NW","W00311","Registered"
"0h 15m 15s","5/8/2012 15:44","5/8/2012 15:59","New Hampshire Ave & T St NW [formerly 16th & U St NW]","C & O Canal & Wisconsin Ave NW","W00504","Registered"
"1h 52m 33s","6/29/2012 13:36","6/29/2012 15:28","13th St & New York Ave NW","13th St & New York Ave NW","W00794","Casual"
"0h 3m 2s","6/18/2012 12:12","6/18/2012 12:15","Park Rd & Holmead Pl NW","Georgia & New Hampshire Ave NW","W01293","Registered"
"0h 20m 56s","4/15/2012 18:56","4/15/2012 19:17","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","Central Library / N Quincy St & 10th St N","W01048","Casual"
"0h 15m 38s","4/18/2012 17:58","4/18/2012 18:14","20th St & Florida Ave NW","Metro Center / 12th & G St NW","W01404","Registered"
"0h 6m 5s","5/24/2012 19:03","5/24/2012 19:09","18th & M St NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W00684","Registered"
"0h 5m 33s","6/6/2012 12:18","6/6/2012 12:24","Lincoln Park / 13th & East Capitol St NE ","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00683","Registered"
"0h 13m 36s","6/17/2012 16:52","6/17/2012 17:06","13th & D St NE","13th & D St NE","W01240","Registered"
"0h 5m 58s","4/12/2012 8:24","4/12/2012 8:30","1st & M St NE","North Capitol St & F St NW","W01080","Registered"
"0h 16m 39s","6/2/2012 19:00","6/2/2012 19:17","Adams Mill & Columbia Rd NW","14th & R St NW","W00768","Registered"
"0h 15m 3s","4/16/2012 13:51","4/16/2012 14:06","Jefferson Dr & 14th St SW","M St & New Jersey Ave SE","W01413","Registered"
"0h 22m 46s","5/8/2012 18:57","5/8/2012 19:20","10th St & Constitution Ave NW","4th & East Capitol St NE","W00251","Casual"
"0h 3m 33s","5/27/2012 8:56","5/27/2012 9:00","Thomas Circle","21st & M St NW","W01410","Registered"
"0h 25m 45s","4/24/2012 16:36","4/24/2012 17:02","North Capitol St & F St NW","North Capitol St & F St NW","W01211","Casual"
"0h 6m 13s","6/12/2012 16:37","6/12/2012 16:43","Thomas Circle","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W01183","Registered"
"0h 18m 33s","4/16/2012 7:57","4/16/2012 8:16","14th & D St SE","5th & F St NW","W00419","Registered"
"0h 5m 24s","6/13/2012 14:41","6/13/2012 14:46","14th & V St NW","14th & Rhode Island Ave NW","W20143","Registered"
"0h 13m 37s","4/17/2012 16:38","4/17/2012 16:51","New York Ave & 15th St NW","L'Enfant Plaza / 7th & C St SW","W01414","Registered"
"0h 14m 33s","6/30/2012 10:40","6/30/2012 10:54","Wilson Blvd & N Oakland St","Court House Metro / Wilson Blvd & N Uhle St","W00967","Registered"
"0h 25m 23s","6/15/2012 18:06","6/15/2012 18:32","Lynn & 19th St North","20th & Crystal Dr","W00005","Registered"
"0h 6m 55s","4/19/2012 17:18","4/19/2012 17:25","17th & Rhode Island Ave NW","14th & V St NW","W01310","Registered"
"0h 11m 41s","4/21/2012 15:49","4/21/2012 16:01","10th St & Constitution Ave NW","Thomas Circle","W00700","Casual"
"0h 37m 39s","6/26/2012 17:51","6/26/2012 18:28","Clarendon Metro / Wilson Blvd & N Highland St","4th & East Capitol St NE","W00941","Registered"
"0h 15m 33s","6/25/2012 22:05","6/25/2012 22:20","7th & F St NW / National Portrait Gallery","11th & H St NE","W01255","Registered"
"0h 19m 13s","6/12/2012 20:27","6/12/2012 20:46","Jefferson Memorial","23rd & Crystal Dr","W00915","Registered"
"0h 6m 38s","5/1/2012 10:43","5/1/2012 10:50","Calvert St & Woodley Pl NW","Connecticut Ave & Newark St NW / Cleveland Park","W00159","Registered"
"0h 11m 22s","4/18/2012 8:14","4/18/2012 8:26","14th & Rhode Island Ave NW","20th & E St NW","W00017","Registered"
"0h 21m 46s","5/20/2012 9:18","5/20/2012 9:40","Jefferson Dr & 14th St SW","19th St & Constitution Ave NW","W01035","Casual"
"0h 26m 58s","6/23/2012 13:27","6/23/2012 13:54","M St & Pennsylvania Ave NW","Connecticut Ave & Newark St NW / Cleveland Park","W01190","Registered"
"0h 18m 39s","4/9/2012 8:47","4/9/2012 9:06","11th & Kenyon St NW","25th St & Pennsylvania Ave NW","W00376","Registered"
"0h 12m 7s","5/1/2012 21:33","5/1/2012 21:45","Ward Circle / American University","Calvert St & Woodley Pl NW","W00214","Registered"
"0h 30m 58s","5/3/2012 11:32","5/3/2012 12:03","Eastern Market / 7th & North Carolina Ave SE","1st & Washington Hospital Center NW","W20111","Registered"
"0h 17m 34s","6/1/2012 8:52","6/1/2012 9:10","14th & R St NW","25th St & Pennsylvania Ave NW","W01304","Registered"
"0h 11m 33s","6/12/2012 19:42","6/12/2012 19:53","8th & H St NW","7th & T St NW","W01379","Registered"
"0h 2m 53s","4/24/2012 20:08","4/24/2012 20:11","3000 Connecticut Ave NW / National Zoo","Connecticut Ave & Newark St NW / Cleveland Park","W00311","Registered"
"0h 8m 35s","5/23/2012 18:49","5/23/2012 18:57","3rd & H St NE","3rd & D St SE","W01438","Registered"
"0h 2m 22s","6/27/2012 9:04","6/27/2012 9:07","Eastern Market Metro / Pennsylvania Ave & 7th St SE","8th & Eye St SE / Barracks Row","W01222","Registered"
"0h 16m 24s","4/16/2012 19:54","4/16/2012 20:11","Lincoln Park / 13th & East Capitol St NE ","8th & H St NW","W01337","Registered"
"0h 16m 47s","6/8/2012 17:56","6/8/2012 18:12","14th & G St NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W01207","Registered"
"0h 3m 10s","4/19/2012 9:17","4/19/2012 9:20","17th & Rhode Island Ave NW","19th & L St NW","W01054","Registered"
"0h 13m 47s","5/8/2012 15:40","5/8/2012 15:54","Metro Center / 12th & G St NW","Massachusetts Ave & Dupont Circle NW","W00415","Casual"
"0h 4m 39s","4/14/2012 10:45","4/14/2012 10:50","19th & L St NW","17th & Corcoran St NW","W01283","Registered"
"0h 8m 21s","6/28/2012 8:53","6/28/2012 9:02","Connecticut Ave & Newark St NW / Cleveland Park","20th St & Florida Ave NW","W00506","Registered"
"0h 12m 35s","6/5/2012 9:10","6/5/2012 9:23","9th & Upshur St NW","17th & Corcoran St NW","W00963","Registered"
"0h 3m 33s","6/2/2012 23:48","6/2/2012 23:52","14th & Harvard St NW","14th & V St NW","W00097","Registered"
"0h 12m 4s","6/29/2012 15:08","6/29/2012 15:20","1st & Rhode Island Ave NW","19th & L St NW","W01134","Registered"
"0h 11m 20s","6/2/2012 12:27","6/2/2012 12:38","14th & G St NW","5th & F St NW","W01072","Casual"
"0h 14m 59s","4/9/2012 8:27","4/9/2012 8:42","Potomac & Pennsylvania Ave SE","North Capitol St & F St NW","W00564","Registered"
"0h 6m 19s","6/28/2012 19:27","6/28/2012 19:33","N Adams St & Lee Hwy","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","W00983","Registered"
