"Duration","Start.date","Start.Station","End.date","End.Station","Bike.","Member.Type"
"0h 5m 20s","1/30/2014 8:21","Massachusetts Ave & Dupont Circle NW","1/30/2014 8:26","20th & L St NW","W20253","Registered"
"0h 6m 48s","3/28/2014 12:37","7th & F St NW / National Portrait Gallery","3/28/2014 12:44","Thomas Circle","W00201","Registered"
"0h 7m 55s","1/6/2014 16:36","12th & L St NW","1/6/2014 16:44","Thomas Circle","W21451","Registered"
"0h 15m 55s","3/18/2014 19:52","15th & K St NW","3/18/2014 20:08","13th & H St NE","W20235","Registered"
"0h 19m 53s","3/10/2014 19:31","19th St & Pennsylvania Ave NW","3/10/2014 19:50","11th & H St NE","W21164","Registered"
"0h 12m 52s","3/20/2014 18:46","17th & Corcoran St NW","3/20/2014 18:59","13th St & New York Ave NW","W01312","Registered"
"0h 15m 9s","3/27/2014 18:31","Massachusetts Ave & Dupont Circle NW","3/27/2014 18:46","10th & E St NW","W01092","Registered"
"0h 4m 4s","3/20/2014 7:52","20th & E St NW","3/20/2014 7:56","McPherson Square / 14th & H St NW","W21176","Registered"
"0h 4m 46s","3/10/2014 8:43","7th & R St NW / Shaw Library","3/10/2014 8:48","5th St & Massachusetts Ave NW","W00426","Registered"
"0h 7m 20s","1/13/2014 6:09","Park Rd & Holmead Pl NW","1/13/2014 6:16","10th & U St NW","W00514","Registered"
"0h 5m 24s","3/19/2014 18:58","Wilson Blvd & N Oakland St","3/19/2014 19:04","Clarendon Blvd & N Fillmore St","W01407","Registered"
"0h 6m 24s","2/20/2014 21:35","Massachusetts Ave & Dupont Circle NW","2/20/2014 21:42","14th & Rhode Island Ave NW","W21024","Registered"
"0h 17m 56s","2/12/2014 15:07","6th St & Indiana Ave NW","2/12/2014 15:25","Columbus Circle / Union Station","W01283","Casual"
"0h 8m 20s","3/10/2014 18:14","Columbus Circle / Union Station","3/10/2014 18:22","8th & East Capitol St NE","W21351","Registered"
"0h 17m 1s","2/3/2014 19:16","US Dept of State / Virginia Ave & 21st St NW","2/3/2014 19:33","14th & V St NW","W00814","Registered"
"0h 5m 53s","1/13/2014 8:02","15th & P St NW","1/13/2014 8:08","15th & K St NW","W01211","Registered"
"0h 5m 51s","1/20/2014 22:31","11th & M St NW","1/20/2014 22:37","17th St & Massachusetts Ave NW","W00716","Registered"
"0h 8m 54s","3/28/2014 19:22","Shady Grove Hospital","3/28/2014 19:31","Broschart & Blackwell Rd","W21313","Registered"
"0h 18m 47s","3/6/2014 11:01","Florida Ave & R St NW","3/6/2014 11:20","24th & N St NW","W01032","Registered"
"0h 12m 50s","2/8/2014 21:55","8th & H St NW","2/8/2014 22:08","1st & Rhode Island Ave NW","W20205","Registered"
"0h 7m 37s","2/20/2014 12:11","Clarendon Metro / Wilson Blvd & N Highland St","2/20/2014 12:18","Washington Blvd & 7th St N","W00561","Registered"
"0h 4m 15s","1/14/2014 17:13","21st & M St NW","1/14/2014 17:17","M St & Pennsylvania Ave NW","W21223","Casual"
"0h 3m 47s","3/31/2014 18:37","D St & Maryland Ave NE","3/31/2014 18:41","11th & H St NE","W00251","Registered"
"0h 5m 51s","1/17/2014 23:34","Lamont & Mt Pleasant NW","1/17/2014 23:40","14th & V St NW","W01263","Registered"
"0h 3m 28s","3/17/2014 16:46","17th & Rhode Island Ave NW","3/17/2014 16:49","15th & P St NW","W01207","Registered"
"0h 21m 29s","2/22/2014 11:32","Convention Center / 7th & M St NW","2/22/2014 11:54","21st & M St NW","W21309","Registered"
"0h 8m 9s","1/23/2014 22:02","21st & I St NW","1/23/2014 22:10","15th & P St NW","W20409","Registered"
"0h 32m 41s","3/28/2014 18:28","Kennedy Center","3/28/2014 19:01","6th St & Indiana Ave NW","W21461","Casual"
"0h 5m 33s","3/28/2014 14:49","17th & Corcoran St NW","3/28/2014 14:54","21st & M St NW","W21500","Registered"
"0h 4m 45s","1/4/2014 11:50","Adams Mill & Columbia Rd NW","1/4/2014 11:55","20th St & Florida Ave NW","W00490","Registered"
"0h 21m 32s","1/17/2014 23:52","17th & Rhode Island Ave NW","1/18/2014 0:13","Lincoln Park / 13th & East Capitol St NE ","W21575","Registered"
"0h 19m 31s","2/24/2014 19:55","4th & E St SW","2/24/2014 20:15","Lincoln Memorial","W00959","Registered"
"0h 7m 38s","2/27/2014 12:27","25th St & Pennsylvania Ave NW","2/27/2014 12:35","17th & K St NW","W01203","Registered"
"0h 2m 44s","1/9/2014 12:06","Wilson Blvd & Franklin Rd","1/9/2014 12:09","N Adams St & Lee Hwy","W21200","Registered"
"0h 5m 34s","3/28/2014 1:02","15th & Euclid St  NW","3/28/2014 1:08","Columbia Rd & Georgia Ave NW","W20008","Registered"
"0h 4m 54s","2/2/2014 19:59","14th & Rhode Island Ave NW","2/2/2014 20:04","12th & L St NW","W20151","Registered"
"0h 10m 37s","2/1/2014 19:53","Massachusetts Ave & Dupont Circle NW","2/1/2014 20:03","7th & T St NW","W20651","Registered"
"0h 6m 22s","3/11/2014 11:30","21st & M St NW","3/11/2014 11:36","17th & Rhode Island Ave NW","W20806","Registered"
"0h 7m 28s","2/10/2014 20:55","22nd & I St NW / Foggy Bottom","2/10/2014 21:02","17th & Corcoran St NW","W20167","Registered"
"0h 9m 11s","1/17/2014 17:07","11th & F St NW","1/17/2014 17:16","7th & R St NW / Shaw Library","W21343","Registered"
"0h 8m 29s","3/21/2014 19:39","Eastern Market / 7th & North Carolina Ave SE","3/21/2014 19:47","6th & H St NE","W00044","Registered"
"0h 3m 38s","3/14/2014 16:36","18th St & Pennsylvania Ave NW","3/14/2014 16:40","McPherson Square / 14th & H St NW","W20590","Registered"
"0h 10m 46s","1/8/2014 7:38","16th & Harvard St NW","1/8/2014 7:49","Thomas Circle","W01198","Registered"
"0h 5m 12s","2/12/2014 11:09","Fairfax Dr & Kenmore St","2/12/2014 11:14","Wilson Blvd & N Edgewood St","W20012","Registered"
"0h 12m 24s","2/11/2014 8:44","14th & Harvard St NW","2/11/2014 8:56","Metro Center / 12th & G St NW","W20088","Registered"
"0h 3m 8s","2/23/2014 4:45","Thomas Circle","2/23/2014 4:49","12th & L St NW","W01253","Registered"
"0h 18m 29s","1/10/2014 12:59","13th & D St NE","1/10/2014 13:17","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20416","Registered"
"0h 2m 17s","3/1/2014 11:06","20th St & Florida Ave NW","3/1/2014 11:08","New Hampshire Ave & T St NW","W01128","Registered"
"0h 28m 50s","1/8/2014 12:52","Lincoln Memorial","1/8/2014 13:21","Maryland & Independence Ave SW","W21203","Casual"
"0h 6m 26s","3/9/2014 0:11","Van Ness Metro / UDC","3/9/2014 0:18","Connecticut & Nebraska Ave NW","W20690","Registered"
"1h 22m 15s","3/15/2014 12:54","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","3/15/2014 14:16","25th St & Pennsylvania Ave NW","W21321","Casual"
"0h 8m 11s","2/4/2014 21:27","10th & U St NW","2/4/2014 21:35","Convention Center / 7th & M St NW","W21322","Registered"
"0h 12m 32s","3/28/2014 17:02","Thomas Circle","3/28/2014 17:15","10th & U St NW","W21540","Registered"
"0h 5m 19s","3/21/2014 8:36","Connecticut Ave & Newark St NW / Cleveland Park","3/21/2014 8:41","Calvert St & Woodley Pl NW","W20002","Registered"
"0h 14m 55s","1/18/2014 16:15","12th & Hayes St /  Pentagon City Metro","1/18/2014 16:30","S Troy St & 26th St S","W21096","Registered"
"0h 9m 38s","1/20/2014 16:20","12th & L St NW","1/20/2014 16:30","New Jersey Ave & N St NW/Dunbar HS","W00870","Registered"
"0h 7m 34s","2/10/2014 9:15","25th St & Pennsylvania Ave NW","2/10/2014 9:22","17th & Rhode Island Ave NW","W21003","Registered"
"0h 3m 56s","3/13/2014 18:09","Court House Metro / Wilson Blvd & N Uhle St","3/13/2014 18:13","N Adams St & Lee Hwy","W20060","Registered"
"0h 12m 50s","3/14/2014 8:06","14th & Belmont St NW","3/14/2014 8:19","17th & K St NW / Farragut Square","W21006","Registered"
"0h 9m 41s","3/11/2014 4:43","Adams Mill & Columbia Rd NW","3/11/2014 4:52","19th St & Pennsylvania Ave NW","W21648","Registered"
"0h 9m 18s","1/30/2014 8:49","14th & Harvard St NW","1/30/2014 8:59","17th & Rhode Island Ave NW","W20355","Registered"
"0h 10m 38s","3/19/2014 10:48","New Jersey Ave & R St NW","3/19/2014 10:59","North Capitol St & F St NW","W21300","Registered"
"0h 9m 18s","3/19/2014 5:42","4th & E St SW","3/19/2014 5:52","5th & F St NW","W01083","Registered"
"0h 15m 41s","1/31/2014 10:59","23rd & E St NW ","1/31/2014 11:15","Massachusetts Ave & Dupont Circle NW","W20082","Registered"
"0h 3m 36s","3/18/2014 21:49","Georgia & New Hampshire Ave NW","3/18/2014 21:53","Park Rd & Holmead Pl NW","W20788","Registered"
"0h 3m 17s","2/10/2014 6:47","18th St & Wyoming Ave NW","2/10/2014 6:50","17th & Corcoran St NW","W20708","Registered"
"0h 5m 9s","2/24/2014 7:46","21st St & Pennsylvania Ave NW","2/24/2014 7:51","McPherson Square / 14th & H St NW","W20482","Registered"
"0h 10m 2s","2/1/2014 17:31","Jefferson Dr & 14th St SW","2/1/2014 17:41","4th & E St SW","W21493","Registered"
"0h 6m 32s","3/11/2014 19:02","Metro Center / 12th & G St NW","3/11/2014 19:09","5th & K St NW","W20234","Registered"
"0h 10m 53s","1/6/2014 15:19","New York Ave & 15th St NW","1/6/2014 15:30","7th & F St NW / National Portrait Gallery","W01079","Registered"
"0h 9m 27s","3/20/2014 17:50","15th St & Massachusetts Ave SE","3/20/2014 18:00","Constitution Ave & 2nd St NW/DOL","W20658","Registered"
"0h 6m 59s","2/4/2014 7:43","M St & Pennsylvania Ave NW","2/4/2014 7:50","US Dept of State / Virginia Ave & 21st St NW","W20790","Registered"
"0h 7m 5s","3/28/2014 16:29","10th St & Constitution Ave NW","3/28/2014 16:36","New York Ave & 15th St NW","W20289","Registered"
"0h 5m 52s","2/27/2014 21:34","5th St & Massachusetts Ave NW","2/27/2014 21:40","Thomas Circle","W01299","Registered"
"0h 6m 6s","1/5/2014 9:06","Massachusetts Ave & Dupont Circle NW","1/5/2014 9:12","15th & P St NW","W20472","Registered"
"0h 17m 34s","2/2/2014 15:54","3000 Connecticut Ave NW / National Zoo","2/2/2014 16:12","Connecticut Ave & Newark St NW / Cleveland Park","W20830","Registered"
"0h 4m 5s","3/11/2014 18:20","5th & F St NW","3/11/2014 18:24","10th & E St NW","W21586","Registered"
"0h 2m 39s","2/26/2014 12:07","23rd & Crystal Dr","2/26/2014 12:10","Crystal City Metro / 18th & Bell St","W20514","Registered"
"0h 6m 20s","2/18/2014 8:37","17th & K St NW","2/18/2014 8:43","20th & E St NW","W21292","Registered"
"0h 9m 10s","2/20/2014 17:23","19th St & Pennsylvania Ave NW","2/20/2014 17:32","Massachusetts Ave & Dupont Circle NW","W00913","Registered"
"0h 13m 19s","2/4/2014 21:03","15th & P St NW","2/4/2014 21:16","3rd & H St NE","W20406","Registered"
"0h 13m 15s","3/15/2014 16:00","Lincoln Memorial","3/15/2014 16:13","Jefferson Dr & 14th St SW","W21203","Casual"
"0h 4m 25s","2/24/2014 14:07","14th & V St NW","2/24/2014 14:11","7th & T St NW","W20715","Registered"
"0h 32m 15s","2/22/2014 12:50","18th & M St NW","2/22/2014 13:22","Washington & Independence Ave SW/HHS","W00206","Casual"
"0h 14m 15s","3/28/2014 7:48","Jefferson Memorial","3/28/2014 8:02","Crystal City Metro / 18th & Bell St","W21331","Registered"
"0h 21m 30s","2/15/2014 12:46","11th & M St NW","2/15/2014 13:08","18th St & Pennsylvania Ave NW","W20695","Registered"
"0h 4m 25s","2/17/2014 18:29","New Hampshire Ave & T St NW","2/17/2014 18:33","Massachusetts Ave & Dupont Circle NW","W20419","Registered"
"0h 3m 25s","2/12/2014 19:19","15th & N Scott St","2/12/2014 19:23","Court House Metro / Wilson Blvd & N Uhle St","W20990","Registered"
"0h 26m 2s","2/1/2014 16:54","Harvard St & Adams Mill Rd NW","2/1/2014 17:20","36th & Calvert St NW / Glover Park","W01350","Casual"
"0h 21m 21s","2/22/2014 19:02","M St & Pennsylvania Ave NW","2/22/2014 19:24","17th & Corcoran St NW","W21528","Registered"
"0h 8m 54s","1/8/2014 15:24","Virginia Square Metro / N Monroe St & 9th St N","1/8/2014 15:33","Pershing & N George Mason Dr","W20920","Registered"
"0h 7m 16s","3/24/2014 15:51","3rd & H St NE","3/24/2014 15:58","M St & Delaware Ave NE","W20658","Registered"
"0h 7m 26s","2/28/2014 20:14","15th & P St NW","2/28/2014 20:22","14th & Belmont St NW","W00089","Registered"
"0h 8m 0s","3/2/2014 19:05","Park Rd & Holmead Pl NW","3/2/2014 19:13","14th St Heights / 14th & Crittenden St NW","W20679","Registered"
"0h 5m 4s","2/21/2014 6:41","20th St & Florida Ave NW","2/21/2014 6:46","14th & R St NW","w01117","Registered"
"0h 9m 41s","2/24/2014 5:28","Columbus Circle / Union Station","2/24/2014 5:38","3rd & Tingey St SE","W00818","Registered"
"0h 12m 7s","2/22/2014 18:54","13th & U St NW","2/22/2014 19:06","21st & I St NW","W20798","Registered"
"0h 25m 31s","2/22/2014 17:29","Park Rd & Holmead Pl NW","2/22/2014 17:54","Maryland & Independence Ave SW","W20924","Registered"
"0h 5m 32s","1/17/2014 7:56","New Hampshire Ave & T St NW","1/17/2014 8:02","17th & K St NW","W01458","Registered"
"0h 12m 27s","1/12/2014 10:26","11th & M St NW","1/12/2014 10:39","Adams Mill & Columbia Rd NW","W20873","Registered"
"0h 15m 34s","1/2/2014 8:18","Massachusetts Ave & Dupont Circle NW","1/2/2014 8:34","11th & M St NW","W20957","Registered"
"0h 5m 40s","1/31/2014 14:34","Convention Center / 7th & M St NW","1/31/2014 14:40","13th St & New York Ave NW","W20849","Registered"
"0h 15m 52s","3/22/2014 1:06","Massachusetts Ave & Dupont Circle NW","3/22/2014 1:22","Park Rd & Holmead Pl NW","W21454","Registered"
"0h 1m 32s","1/23/2014 14:47","Rhode Island Ave & V St NE","1/23/2014 14:49","4th St & Rhode Island Ave NE","W20940","Registered"
"0h 25m 28s","1/6/2014 9:22","Columbus Circle / Union Station","1/6/2014 9:48","Georgetown Harbor / 30th St NW","W21274","Registered"
"0h 14m 13s","3/20/2014 13:38","McPherson Square / 14th & H St NW","3/20/2014 13:52","Maryland & Independence Ave SW","W00890","Casual"
"0h 3m 34s","2/25/2014 7:51","8th & F St NE","2/25/2014 7:55","Columbus Circle / Union Station","W00666","Registered"
"0h 17m 29s","3/21/2014 22:33","Connecticut Ave & Newark St NW / Cleveland Park","3/21/2014 22:51","14th & Upshur St NW","W00389","Registered"
"0h 34m 3s","3/8/2014 15:27","Calvert St & Woodley Pl NW","3/8/2014 16:01","22nd & I St NW / Foggy Bottom","W00747","Casual"
"0h 10m 39s","3/31/2014 18:27","Connecticut Ave & Newark St NW / Cleveland Park","3/31/2014 18:38","18th St & Wyoming Ave NW","W00392","Registered"
"0h 5m 34s","3/5/2014 7:53","L'Enfant Plaza / 7th & C St SW","3/5/2014 7:59","Constitution Ave & 2nd St NW/DOL","W20556","Registered"
"0h 8m 35s","2/21/2014 18:11","21st & M St NW","2/21/2014 18:20","20th St & Florida Ave NW","W20840","Registered"
"0h 4m 55s","3/15/2014 13:33","14th & V St NW","3/15/2014 13:38","18th St & Wyoming Ave NW","W21141","Registered"
"0h 12m 35s","3/8/2014 18:10","1st & K St SE","3/8/2014 18:23","8th & D St NW","W00922","Registered"
"0h 4m 45s","3/7/2014 11:53","Connecticut Ave & Tilden St NW","3/7/2014 11:58","3000 Connecticut Ave NW / National Zoo","W01058","Registered"
"0h 9m 14s","3/27/2014 15:49","Metro Center / 12th & G St NW","3/27/2014 15:58","5th & K St NW","W00426","Registered"
"0h 6m 16s","1/29/2014 8:24","8th & F St NE","1/29/2014 8:30","Columbus Circle / Union Station","W21011","Registered"
"0h 10m 53s","1/12/2014 11:02","3rd & D St SE","1/12/2014 11:13","3rd & H St NE","W21413","Registered"
"0h 12m 48s","2/8/2014 21:25","Thomas Circle","2/8/2014 21:38","25th St & Pennsylvania Ave NW","W20034","Registered"
"0h 5m 43s","1/23/2014 9:12","10th St & Constitution Ave NW","1/23/2014 9:17","4th & D St NW / Judiciary Square","W21302","Registered"
"0h 6m 22s","3/9/2014 15:44","Lamont & Mt Pleasant NW","3/9/2014 15:50","Park Rd & Holmead Pl NW","W20368","Registered"
"0h 14m 16s","3/11/2014 11:21","39th & Calvert St NW / Stoddert","3/11/2014 11:35","Massachusetts Ave & Dupont Circle NW","W00592","Registered"
"0h 4m 30s","1/16/2014 14:46","King St & Patrick St","1/16/2014 14:51","King St Metro","W21344","Casual"
"0h 10m 32s","1/18/2014 10:00","14th & V St NW","1/18/2014 10:10","5th St & Massachusetts Ave NW","W00853","Registered"
"0h 23m 11s","2/7/2014 8:46","39th & Calvert St NW / Stoddert","2/7/2014 9:10","5th St & Massachusetts Ave NW","W00025","Registered"
"0h 2m 25s","1/7/2014 14:44","39th & Veazey St NW","1/7/2014 14:46","Tenleytown / Wisconsin Ave & Albemarle St NW","W01194","Registered"
"0h 7m 47s","3/14/2014 13:44","17th & K St NW","3/14/2014 13:51","14th & Rhode Island Ave NW","W21287","Casual"
"0h 2m 1s","2/25/2014 7:01","N Quincy St & Wilson Blvd","2/25/2014 7:03","Virginia Square Metro / N Monroe St & 9th St N","W21245","Registered"
"0h 16m 27s","3/24/2014 7:52","Neal St & Trinidad Ave NE","3/24/2014 8:08","Maryland & Independence Ave SW","W20766","Registered"
"0h 2m 11s","1/19/2014 20:53","Clarendon Metro / Wilson Blvd & N Highland St","1/19/2014 20:55","Wilson Blvd & N Edgewood St","W21015","Registered"
"0h 7m 43s","3/12/2014 12:20","Metro Center / 12th & G St NW","3/12/2014 12:28","15th & K St NW","W20250","Registered"
"0h 1m 46s","2/8/2014 12:17","Adams Mill & Columbia Rd NW","2/8/2014 12:19","Calvert St & Woodley Pl NW","W21590","Registered"
"0h 14m 29s","2/22/2014 20:40","16th & Harvard St NW","2/22/2014 20:54","10th & Monroe St NE","W00701","Registered"
"0h 4m 14s","2/8/2014 11:15","34th St & Wisconsin Ave NW","2/8/2014 11:19","C & O Canal & Wisconsin Ave NW","W20272","Registered"
"0h 18m 30s","2/22/2014 21:40","7th & F St NW / National Portrait Gallery","2/22/2014 21:59","20th & O St NW / Dupont South","W00464","Registered"
"0h 11m 47s","1/15/2014 19:12","3rd & G St SE","1/15/2014 19:23","M St & Delaware Ave NE","W21351","Registered"
"0h 28m 12s","3/11/2014 21:27","8th & H St NW","3/11/2014 21:55","8th & F St NE","W00615","Registered"
"0h 10m 0s","2/9/2014 19:52","Columbus Circle / Union Station","2/9/2014 20:02","15th & East Capitol St NE","W20039","Registered"
"0h 13m 24s","3/12/2014 16:40","8th & H St NW","3/12/2014 16:54","6th & H St NE","W01097","Registered"
"0h 12m 49s","1/9/2014 13:18","7th & T St NW","1/9/2014 13:31","21st & M St NW","W20761","Registered"
"0h 8m 1s","1/12/2014 0:25","North Capitol St & F St NW","1/12/2014 0:33","8th & East Capitol St NE","W01296","Registered"
"0h 9m 49s","3/18/2014 9:27","39th & Calvert St NW / Stoddert","3/18/2014 9:36","37th & O St NW / Georgetown University","W00590","Registered"
"0h 5m 11s","3/5/2014 15:00","21st & M St NW","3/5/2014 15:05","21st & I St NW","W21223","Registered"
"0h 9m 39s","1/17/2014 6:59","17th & Corcoran St NW","1/17/2014 7:09","19th & E Street NW","W21262","Registered"
"0h 5m 3s","3/16/2014 11:56","M St & Delaware Ave NE","3/16/2014 12:01","13th & H St NE","W21312","Registered"
"0h 4m 34s","1/17/2014 17:45","10th & U St NW","1/17/2014 17:50","14th & Rhode Island Ave NW","W21361","Registered"
"0h 9m 33s","3/15/2014 18:15","New Jersey Ave & R St NW","3/15/2014 18:24","3rd & H St NE","W21071","Registered"
"0h 14m 9s","1/9/2014 19:53","Massachusetts Ave & Dupont Circle NW","1/9/2014 20:07","11th & Kenyon St NW","W00112","Registered"
"0h 10m 38s","3/21/2014 18:12","4th & East Capitol St NE","3/21/2014 18:23","7th & F St NW / National Portrait Gallery","W21056","Registered"
"0h 3m 53s","3/10/2014 5:26","17th & Corcoran St NW","3/10/2014 5:29","17th & K St NW","W00095","Registered"
"0h 12m 38s","3/20/2014 18:09","13th St & New York Ave NW","3/20/2014 18:22","Kennedy Center","W20171","Registered"
"0h 6m 36s","3/14/2014 8:31","14th & Harvard St NW","3/14/2014 8:38","18th St & Wyoming Ave NW","W01409","Registered"
"0h 19m 42s","1/15/2014 18:35","4th & D St NW / Judiciary Square","1/15/2014 18:55","22nd & I St NW / Foggy Bottom","W20795","Registered"
"0h 4m 57s","3/26/2014 15:38","25th St & Pennsylvania Ave NW","3/26/2014 15:43","22nd & I St NW / Foggy Bottom","W20697","Casual"
"0h 5m 46s","1/19/2014 14:30","5th St & Massachusetts Ave NW","1/19/2014 14:36","1st & M St NE","W21041","Registered"
"0h 5m 5s","3/14/2014 8:37","5th St & Massachusetts Ave NW","3/14/2014 8:42","10th & E St NW","W00737","Registered"
"0h 4m 32s","3/1/2014 15:20","3rd & H St NE","3/1/2014 15:25","13th & H St NE","W00955","Registered"
"0h 17m 50s","2/23/2014 10:30","10th & E St NW","2/23/2014 10:47","Maryland & Independence Ave SW","W20626","Casual"
"0h 8m 29s","1/22/2014 9:29","11th & Kenyon St NW","1/22/2014 9:38","13th & U St NW","W00664","Registered"
"0h 6m 41s","1/27/2014 18:30","17th St & Massachusetts Ave NW","1/27/2014 18:37","24th & N St NW","W20067","Registered"
"0h 6m 2s","1/26/2014 11:52","13th St & New York Ave NW","1/26/2014 11:58","14th & D St NW / Ronald Reagan Building","W00224","Registered"
"0h 5m 36s","3/21/2014 21:59","20th St & Florida Ave NW","3/21/2014 22:05","15th & P St NW","W00496","Registered"
"0h 11m 30s","1/16/2014 18:06","10th & E St NW","1/16/2014 18:18","4th & M St SW","W00589","Registered"
"0h 5m 17s","2/11/2014 19:43","Massachusetts Ave & Dupont Circle NW","2/11/2014 19:49","Thomas Circle","W20974","Registered"
"0h 3m 14s","1/13/2014 14:55","California St & Florida Ave NW","1/13/2014 14:58","Adams Mill & Columbia Rd NW","W00489","Casual"
"0h 12m 12s","3/28/2014 16:53","24th & N St NW","3/28/2014 17:05","14th & R St NW","W20237","Registered"
"0h 10m 34s","3/1/2014 19:29","13th & U St NW","3/1/2014 19:40","Massachusetts Ave & Dupont Circle NW","W20986","Casual"
"0h 30m 3s","3/14/2014 20:21","Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir","3/14/2014 20:51","Calvert St & Woodley Pl NW","W21312","Casual"
"0h 11m 13s","2/17/2014 12:39","14th & D St SE","2/17/2014 12:51","North Capitol St & G Pl NE","W21545","Registered"
"0h 4m 31s","2/9/2014 14:24","11th & H St NE","2/9/2014 14:28","3rd & H St NE","W20957","Registered"
"0h 8m 54s","3/10/2014 14:14","15th & Euclid St  NW","3/10/2014 14:23","17th St & Massachusetts Ave NW","W20445","Registered"
"0h 23m 38s","1/23/2014 20:30","17th & Corcoran St NW","1/23/2014 20:54","4th & E St SW","W21426","Registered"
"0h 8m 49s","1/14/2014 15:46","L'Enfant Plaza / 7th & C St SW","1/14/2014 15:55","Columbus Circle / Union Station","W01006","Registered"
"0h 11m 19s","2/4/2014 19:56","Rhode Island Ave & V St NE","2/4/2014 20:08","7th & T St NW","W20981","Registered"
"0h 15m 8s","1/11/2014 15:15","Calvert St & Woodley Pl NW","1/11/2014 15:30","14th & V St NW","W00246","Registered"
"0h 11m 39s","3/31/2014 20:31","Smithsonian / Jefferson Dr & 12th St SW","3/31/2014 20:43","Lincoln Memorial","W20705","Registered"
"0h 10m 3s","3/23/2014 16:40","17th & Corcoran St NW","3/23/2014 16:50","New York Ave & 15th St NW","W00633","Registered"
"0h 8m 8s","2/9/2014 15:52","S George Mason Dr & Four Mile Run","2/9/2014 16:00","S Arlington Mill Dr & Campbell Ave","W01415","Registered"
"0h 4m 23s","2/24/2014 22:09","Park Rd & Holmead Pl NW","2/24/2014 22:13","Lamont & Mt Pleasant NW","W01285","Registered"
"0h 14m 26s","3/21/2014 6:38","D St & Maryland Ave NE","3/21/2014 6:53","USDA / 12th & Independence Ave SW","W20090","Registered"
"0h 3m 5s","2/6/2014 11:08","12th & Army Navy Dr","2/6/2014 11:11","Crystal City Metro / 18th & Bell St","W01288","Registered"
"0h 4m 38s","3/6/2014 12:50","11th & M St NW","3/6/2014 12:55","14th & R St NW","W00119","Registered"
"0h 7m 29s","1/2/2014 7:02","1st & K St SE","1/2/2014 7:10","4th & E St SW","W20165","Registered"
"0h 14m 34s","3/10/2014 18:57","21st & M St NW","3/10/2014 19:12","8th & H St NW","W00817","Casual"
"0h 4m 10s","2/28/2014 12:51","20th & E St NW","2/28/2014 12:55","22nd & I St NW / Foggy Bottom","W20184","Registered"
"0h 11m 45s","1/27/2014 8:36","24th & N St NW","1/27/2014 8:47","18th & M St NW","W20912","Registered"
"0h 6m 19s","2/20/2014 13:54","California St & Florida Ave NW","2/20/2014 14:00","15th & P St NW","W21168","Registered"
"0h 21m 32s","3/8/2014 16:06","Jefferson Memorial","3/8/2014 16:28","New York Ave & 15th St NW","W00685","Casual"
"0h 8m 43s","3/2/2014 14:42","10th St & Constitution Ave NW","3/2/2014 14:51","23rd & E St NW ","W00755","Registered"
"0h 26m 32s","3/13/2014 8:38","17th & K St NW","3/13/2014 9:05","3rd & H St NE","W01311","Casual"
"0h 6m 36s","3/21/2014 17:04","M St & Pennsylvania Ave NW","3/21/2014 17:11","18th & M St NW","W01044","Registered"
"0h 7m 42s","3/26/2014 8:19","20th St & Florida Ave NW","3/26/2014 8:27","US Dept of State / Virginia Ave & 21st St NW","W21132","Registered"
"0h 6m 57s","2/26/2014 19:03","13th St & New York Ave NW","2/26/2014 19:10","21st & I St NW","W21522","Registered"
"0h 3m 39s","3/19/2014 14:53","7th & R St NW / Shaw Library","3/19/2014 14:57","10th & U St NW","W20976","Registered"
"0h 11m 45s","1/31/2014 17:29","17th St & Massachusetts Ave NW","1/31/2014 17:41","C & O Canal & Wisconsin Ave NW","W20742","Registered"
"0h 50m 23s","3/22/2014 15:21","Columbus Circle / Union Station","3/22/2014 16:12","Maryland & Independence Ave SW","W00949","Casual"
"0h 24m 23s","2/21/2014 8:57","6th & H St NE","2/21/2014 9:22","Jefferson Memorial","W01154","Registered"
"0h 14m 5s","1/16/2014 8:00","Massachusetts Ave & Dupont Circle NW","1/16/2014 8:14","14th & D St NW / Ronald Reagan Building","W21134","Registered"
"0h 21m 6s","3/15/2014 11:26","3rd & Elm St NW","3/15/2014 11:47","M St & Pennsylvania Ave NW","W20324","Registered"
"0h 10m 57s","1/18/2014 18:57","15th & F St NE","1/18/2014 19:08","Eastern Market / 7th & North Carolina Ave SE","W00031","Registered"
"0h 2m 58s","1/16/2014 7:22","N Veitch  & 20th St N","1/16/2014 7:25","Court House Metro / Wilson Blvd & N Uhle St","W20084","Registered"
"0h 4m 59s","3/20/2014 17:15","25th St & Pennsylvania Ave NW","3/20/2014 17:20","C & O Canal & Wisconsin Ave NW","W01091","Casual"
"0h 9m 35s","2/3/2014 17:43","Jefferson Dr & 14th St SW","2/3/2014 17:52","4th & M St SW","W00787","Registered"
"0h 13m 18s","1/4/2014 14:01","7th & T St NW","1/4/2014 14:14","Lamont & Mt Pleasant NW","W00156","Registered"
"0h 8m 17s","2/10/2014 18:08","Thomas Circle","2/10/2014 18:16","New Jersey Ave & R St NW","W01050","Registered"
"0h 7m 15s","2/21/2014 9:44","17th & K St NW","2/21/2014 9:52","19th St & Constitution Ave NW","W00914","Registered"
