"Duration","Start.date","End.date","Start.station","End.station","Bike.","Member.Type"
"0h 49min. 51sec.","11/27/2010 14:27","11/27/2010 15:17","15th & Hayes St (31005)","15th & Hayes St (31005)","W00812","Casual"
"0h 30min. 25sec.","11/23/2010 14:10","11/23/2010 14:41","C & O Canal & Wisconsin Ave NW (31225)","21st & M St NW (31212)","W00883","Registered"
"0h 20min. 40sec.","10/28/2010 7:44","10/28/2010 8:05","3rd & D St SE (31605)","USDA / 12th & Independence Ave SW (31217)","W00163","Casual"
"0h 7min. 5sec.","12/2/2010 7:32","12/2/2010 7:39","14th & V St NW (31101)","McPherson Square - 14th & H St NW (31216)","? (0x3EB026B9)","Registered"
"0h 5min. 57sec.","10/22/2010 7:51","10/22/2010 7:57","14th & R St NW (31202)","17th & K St NW [formerly 17th & L St NW] (31213)","W00759","Registered"
"0h 5min. 47sec.","10/2/2010 12:26","10/2/2010 12:31","Massachusetts Ave & Dupont Circle NW (31200)","21st & I St NW (31205)","W00069","Casual"
"0h 10min. 50sec.","10/8/2010 17:21","10/8/2010 17:32","14th & Rhode Island Ave NW (31203)","20th St & Florida Ave NW (31110)","W00780","Registered"
"0h 13min. 17sec.","12/30/2010 11:19","12/30/2010 11:33","20th & E St NW (31204)","20th & E St NW (31204)","W00226","Casual"
"0h 14min. 6sec.","11/13/2010 12:25","11/13/2010 12:39","Park Rd & Holmead Pl NW (31602)","Calvert St & Woodley Pl NW (31106)","W00221","Casual"
"0h 5min. 3sec.","11/26/2010 19:58","11/26/2010 20:03","Lincoln Park / 13th & East Capitol St NE  (31619)","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","W00239","Registered"
"0h 5min. 59sec.","12/8/2010 18:30","12/8/2010 18:36","14th & Rhode Island Ave NW (31203)","Massachusetts Ave & Dupont Circle NW (31200)","W00679","Registered"
"0h 3min. 0sec.","12/24/2010 14:54","12/24/2010 14:57","21st & M St NW (31212)","Massachusetts Ave & Dupont Circle NW (31200)","W00807","Registered"
"0h 6min. 40sec.","12/6/2010 8:08","12/6/2010 8:15","US Dept of State / Virginia Ave & 21st St NW (31220)","14th & G St NW (31238)","W00229","Registered"
"0h 5min. 26sec.","10/25/2010 11:38","10/25/2010 11:44","16th & Harvard St NW (31103)","Calvert St & Woodley Pl NW (31106)","W00557","Registered"
"0h 19min. 28sec.","11/9/2010 8:52","11/9/2010 9:11","4th & East Capitol St NE (31618)","4th & East Capitol St NE (31618)","W00921","Registered"
"0h 14min. 54sec.","11/28/2010 10:42","11/28/2010 10:57","19th & L St NW (31224)","19th St & Constitution Ave NW (31235)","W00748","Casual"
"0h 18min. 50sec.","10/19/2010 8:58","10/19/2010 9:17","5th St & K St NW (31600)","19th St & Constitution Ave NW (31235)","W00712","Registered"
"0h 5min. 31sec.","12/30/2010 8:16","12/30/2010 8:22","14th & V St NW (31101)","Massachusetts Ave & Dupont Circle NW (31200)","W00456","Registered"
"0h 7min. 27sec.","10/12/2010 13:46","10/12/2010 13:53","14th St & Spring Rd NW (31401)","Park Rd & Holmead Pl NW (31602)","W00266","Registered"
"0h 16min. 44sec.","12/5/2010 16:01","12/5/2010 16:17","8th & H St NW (31228)","Georgetown Harbor / 30th St NW (31215)","W00280","Registered"
"0h 25min. 7sec.","10/7/2010 18:17","10/7/2010 18:42","19th & E Street NW (31206)","Florida Ave & R St NW (31503)","W00608","Registered"
"0h 12min. 37sec.","10/20/2010 20:55","10/20/2010 21:08","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","13th & H St NE (31611)","W00225","Registered"
"0h 21min. 19sec.","11/13/2010 17:10","11/13/2010 17:31","Massachusetts Ave & Dupont Circle NW (31200)","37th & O St NW / Georgetown University (31236)","W00655","Registered"
"0h 4min. 38sec.","11/2/2010 6:56","11/2/2010 7:01","14th St & Spring Rd NW (31401)","Park Rd & Holmead Pl NW (31602)","W00635","Registered"
"1h 15min. 46sec.","11/9/2010 13:51","11/9/2010 15:07","Good Hope & Naylor Rd SE (31700)","L'Enfant Plaza / 7th & C St SW (31218)","W00745","Casual"
"0h 30min. 18sec.","10/31/2010 11:47","10/31/2010 12:17","USDA / 12th & Independence Ave SW (31217)","5th & F St NW (31620)","W00443","Registered"
"0h 9min. 2sec.","12/20/2010 16:39","12/20/2010 16:48","14th & Rhode Island Ave NW (31203)","15th & P St NW (31201)","W00827","Registered"
"0h 5min. 36sec.","10/24/2010 13:27","10/24/2010 13:33","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","Potomac & Pennsylvania Ave SE (31606)","W00081","Registered"
"0h 15min. 21sec.","10/12/2010 9:00","10/12/2010 9:15","14th & V St NW (31101)","21st & I St NW (31205)","W00137","Registered"
"0h 9min. 26sec.","10/17/2010 9:11","10/17/2010 9:20","15th & Hayes St (31005)","18th & Bell St (31007)","W00380","Casual"
"0h 11min. 57sec.","11/29/2010 8:25","11/29/2010 8:37","Eckington Pl & Q St NE (31505)","5th & F St NW (31620)","W00084","Registered"
"0h 12min. 21sec.","12/1/2010 12:04","12/1/2010 12:16","Columbus Circle / Union Station (31623)","19th & L St NW (31224)","W00193","Registered"
"0h 25min. 57sec.","12/5/2010 11:33","12/5/2010 11:59","Columbus Circle / Union Station (31623)","12th & Newton St NE (31501)","W00437","Casual"
"0h 7min. 7sec.","10/16/2010 17:11","10/16/2010 17:18","Park Rd & Holmead Pl NW (31602)","14th & V St NW (31101)","W00773","Registered"
"0h 18min. 5sec.","12/3/2010 18:31","12/3/2010 18:50","Wisconsin Ave & Macomb St NW (31302)","Massachusetts Ave & Dupont Circle NW (31200)","W00422","Registered"
"0h 6min. 6sec.","11/3/2010 12:28","11/3/2010 12:34","26th & Crystal Dr (31012)","S Glebe & Potomac Ave (31010)","W00240","Registered"
"0h 8min. 39sec.","11/25/2010 20:31","11/25/2010 20:40","Massachusetts Ave & Dupont Circle NW (31200)","Adams Mill & Columbia Rd NW (31104)","W00010","Registered"
"0h 49min. 27sec.","10/10/2010 12:38","10/10/2010 13:28","Georgetown Harbor / 30th St NW (31215)","14th St Heights / 14th & Crittenden St NW (31402)","W00780","Registered"
"0h 3min. 43sec.","12/5/2010 13:41","12/5/2010 13:45","Calvert St & Woodley Pl NW (31106)","Harvard St & Adams Mill Rd NW (31112)","W00961","Casual"
"0h 6min. 7sec.","9/28/2010 13:22","9/28/2010 13:28","Massachusetts Ave & Dupont Circle NW (31200)","21st & I St NW (31205)","W00418","Registered"
"0h 8min. 24sec.","11/3/2010 17:58","11/3/2010 18:07","20th St & Florida Ave NW (31110)","16th & Harvard St NW (31103)","W00622","Registered"
"0h 14min. 28sec.","10/22/2010 9:18","10/22/2010 9:33","14th St & Spring Rd NW (31401)","21st & M St NW (31212)","W00406","Registered"
"0h 12min. 11sec.","11/1/2010 18:26","11/1/2010 18:39","21st & M St NW (31212)","Convention Center / 7th & M St NW (31223)","W00268","Casual"
"0h 15min. 39sec.","11/24/2010 7:40","11/24/2010 7:56","Lincoln Park / 13th & East Capitol St NE  (31619)","10th St & Constitution Ave NW (31219)","W00240","Registered"
"0h 4min. 54sec.","10/2/2010 20:58","10/2/2010 21:03","8th & Eye St SE / Barracks Row (31608)","Potomac & Pennsylvania Ave SE (31606)","W00472","Casual"
"0h 15min. 27sec.","11/20/2010 1:06","11/20/2010 1:21","Convention Center / 7th & M St NW (31223)","16th & U St NW (31229)","W00357","Registered"
"0h 35min. 42sec.","11/19/2010 16:15","11/19/2010 16:51","New York Ave & 15th St NW (31222)","Georgetown Harbor / 30th St NW (31215)","w01117","Casual"
"0h 3min. 54sec.","9/25/2010 20:05","9/25/2010 20:09","17th & K St NW [formerly 17th & L St NW] (31213)","14th & Rhode Island Ave NW (31203)","W01099","Casual"
"0h 16min. 19sec.","11/28/2010 13:15","11/28/2010 13:32","4th St & Massachusetts Ave NW (31604)","18th & M St NW (31221)","W00055","Registered"
"0h 9min. 55sec.","12/22/2010 16:26","12/22/2010 16:36","Eastern Market / 7th & North Carolina Ave SE (31610)","M St & New Jersey Ave SE (31208)","W00268","Registered"
"0h 23min. 49sec.","10/3/2010 13:40","10/3/2010 14:03","17th & Corcoran St NW (31214)","17th & Corcoran St NW (31214)","W00440","Registered"
"0h 23min. 48sec.","10/30/2010 10:44","10/30/2010 11:07","15th & Hayes St (31005)","Georgetown Harbor / 30th St NW (31215)","w00059","Registered"
"0h 11min. 11sec.","12/11/2010 17:12","12/11/2010 17:23","Massachusetts Ave & Dupont Circle NW (31200)","16th & Harvard St NW (31103)","W00013","Registered"
"1h 11min. 12sec.","10/31/2010 14:28","10/31/2010 15:39","US Dept of State / Virginia Ave & 21st St NW (31220)","19th & E Street NW (31206)","W00149","Casual"
"0h 8min. 14sec.","11/7/2010 12:31","11/7/2010 12:39","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","13th & D St NE (31622)","W00597","Registered"
"0h 7min. 4sec.","10/17/2010 20:02","10/17/2010 20:09","23rd & Crystal Dr (31011)","S Glebe & Potomac Ave (31010)","W01124","Registered"
"0h 5min. 22sec.","12/8/2010 9:21","12/8/2010 9:27","14th & R St NW (31202)","14th & G St NW (31238)","W00731","Registered"
"0h 2min. 36sec.","11/28/2010 17:01","11/28/2010 17:04","14th & R St NW (31202)","14th & V St NW (31101)","W00043","Registered"
"0h 9min. 9sec.","11/12/2010 13:19","11/12/2010 13:28","10th St & Constitution Ave NW (31219)","17th & K St NW [formerly 17th & L St NW] (31213)","W00636","Registered"
"0h 9min. 19sec.","10/7/2010 17:50","10/7/2010 17:59","20th St & Florida Ave NW (31110)","14th & V St NW (31101)","W00557","Registered"
"0h 8min. 0sec.","11/29/2010 6:47","11/29/2010 6:55","Columbus Circle / Union Station (31623)","L'Enfant Plaza / 7th & C St SW (31218)","W00612","Registered"
"0h 22min. 50sec.","10/12/2010 16:49","10/12/2010 17:12","Ward Circle / American University (31301)","21st & I St NW (31205)","W00431","Registered"
"0h 28min. 59sec.","10/30/2010 17:48","10/30/2010 18:17","Lamont & Mt Pleasant NW (31107)","Lamont & Mt Pleasant NW (31107)","W01033","Casual"
"0h 13min. 46sec.","10/9/2010 19:49","10/9/2010 20:03","10th St & Constitution Ave NW (31219)","10th St & Constitution Ave NW (31219)","W00760","Registered"
"0h 23min. 44sec.","11/28/2010 13:14","11/28/2010 13:37","North Capitol St & F St NW (31624)","Eastern Market / 7th & North Carolina Ave SE (31610)","W00533","Casual"
"0h 28min. 13sec.","11/9/2010 11:52","11/9/2010 12:20","Massachusetts Ave & Dupont Circle NW (31200)","Eastern Market / 7th & North Carolina Ave SE (31610)","W00857","Registered"
"0h 11min. 29sec.","11/25/2010 13:28","11/25/2010 13:40","Tenleytown / Wisconsin Ave & Albemarle St NW (31303)","Wisconsin Ave & Macomb St NW (31302)","W00425","Registered"
"0h 29min. 56sec.","12/3/2010 18:54","12/3/2010 19:24","8th & Eye St SE / Barracks Row (31608)","14th & Rhode Island Ave NW (31203)","W00790","Registered"
"0h 7min. 38sec.","12/11/2010 14:00","12/11/2010 14:07","13th & H St NE (31611)","Columbus Circle / Union Station (31623)","W00145","Registered"
"0h 3min. 26sec.","12/10/2010 9:18","12/10/2010 9:22","14th St & Spring Rd NW (31401)","Park Rd & Holmead Pl NW (31602)","W01112","Registered"
"0h 9min. 7sec.","11/15/2010 18:49","11/15/2010 18:58","Adams Mill & Columbia Rd NW (31104)","21st & I St NW (31205)","W00636","Registered"
"0h 12min. 13sec.","11/1/2010 18:32","11/1/2010 18:44","15th & P St NW (31201)","16th & Harvard St NW (31103)","W00134","Registered"
"0h 18min. 40sec.","10/6/2010 18:52","10/6/2010 19:10","20th St & Florida Ave NW (31110)","Park Rd & Holmead Pl NW (31602)","w00583","Casual"
"1h 53min. 25sec.","11/25/2010 14:32","11/25/2010 16:25","New York Ave & 15th St NW (31222)","New York Ave & 15th St NW (31222)","W00998","Casual"
"0h 4min. 32sec.","11/7/2010 8:59","11/7/2010 9:04","16th & U St NW (31229)","Massachusetts Ave & Dupont Circle NW (31200)","W00955","Registered"
"0h 3min. 23sec.","10/13/2010 16:31","10/13/2010 16:35","12th & Hayes St (31001)","18th & Hayes St (31004)","W00685","Registered"
"0h 8min. 6sec.","10/21/2010 6:32","10/21/2010 6:40","14th & R St NW (31202)","17th & K St NW [formerly 17th & L St NW] (31213)","W00630","Registered"
"0h 3min. 20sec.","11/28/2010 9:36","11/28/2010 9:40","Lincoln Park / 13th & East Capitol St NE  (31619)","Eastern Market / 7th & North Carolina Ave SE (31610)","W00485","Registered"
"0h 23min. 22sec.","10/20/2010 17:16","10/20/2010 17:39","Ward Circle / American University (31301)","Kennedy Center (31211)","W00663","Casual"
"0h 18min. 44sec.","12/19/2010 12:01","12/19/2010 12:19","16th & Harvard St NW (31103)","Florida Ave & R St NW (31503)","W00044","Casual"
"0h 8min. 5sec.","10/12/2010 20:02","10/12/2010 20:10","S Glebe & Potomac Ave (31010)","23rd & Crystal Dr (31011)","W00678","Registered"
"2h 39min. 39sec.","11/27/2010 11:41","11/27/2010 14:20","25th St & Pennsylvania Ave NW (31237)","25th St & Pennsylvania Ave NW (31237)","W00443","Casual"
"0h 4min. 19sec.","11/12/2010 18:49","11/12/2010 18:54","New York Ave & 15th St NW (31222)","17th & K St NW [formerly 17th & L St NW] (31213)","W01043","Registered"
"0h 9min. 36sec.","10/13/2010 17:45","10/13/2010 17:55","21st & M St NW (31212)","14th & V St NW (31101)","W00252","Registered"
"0h 14min. 21sec.","11/18/2010 15:39","11/18/2010 15:54","20th & E St NW (31204)","10th St & Constitution Ave NW (31219)","W01014","Casual"
"0h 6min. 44sec.","12/22/2010 12:08","12/22/2010 12:15","14th & G St NW (31238)","18th & M St NW (31221)","W00488","Registered"
"0h 35min. 29sec.","12/28/2010 13:27","12/28/2010 14:02","14th & R St NW (31202)","C & O Canal & Wisconsin Ave NW (31225)","W00896","Casual"
"0h 28min. 50sec.","12/5/2010 0:26","12/5/2010 0:55","14th & Rhode Island Ave NW (31203)","13th & H St NE (31611)","W00466","Casual"
"0h 6min. 39sec.","11/11/2010 21:44","11/11/2010 21:50","North Capitol St & F St NW (31624)","1st & M St NE (31603)","W00724","Registered"
"0h 27min. 4sec.","9/25/2010 11:01","9/25/2010 11:28","M St & New Jersey Ave SE (31208)","19th & East Capitol St SE (31601)","W00755","Registered"
"0h 9min. 45sec.","11/11/2010 12:23","11/11/2010 12:33","Adams Mill & Columbia Rd NW (31104)","25th St & Pennsylvania Ave NW (31237)","W00930","Casual"
"0h 5min. 50sec.","12/17/2010 8:05","12/17/2010 8:11","14th & Rhode Island Ave NW (31203)","18th & M St NW (31221)","W00270","Registered"
"0h 3min. 23sec.","11/14/2010 17:17","11/14/2010 17:21","17th & Corcoran St NW (31214)","16th & U St NW (31229)","W00041","Registered"
"0h 11min. 58sec.","10/22/2010 23:18","10/22/2010 23:30","Calvert St & Woodley Pl NW (31106)","Georgia & New Hampshire Ave NW (31400)","W00612","Registered"
"0h 9min. 25sec.","10/5/2010 22:14","10/5/2010 22:23","15th & P St NW (31201)","5th St & K St NW (31600)","W00812","Registered"
"0h 18min. 14sec.","11/27/2010 15:39","11/27/2010 15:58","14th & R St NW (31202)","Park Rd & Holmead Pl NW (31602)","W00940","Casual"
"0h 13min. 44sec.","12/3/2010 8:10","12/3/2010 8:23","11th & Kenyon St NW (31102)","8th & H St NW (31228)","W00649","Registered"
"0h 21min. 45sec.","11/22/2010 13:24","11/22/2010 13:45","10th St & Constitution Ave NW (31219)","21st & I St NW (31205)","W00422","Registered"
"0h 15min. 45sec.","11/14/2010 19:06","11/14/2010 19:22","19th St & Pennsylvania Ave NW (31100)","Lamont & Mt Pleasant NW (31107)","W00146","Registered"
"0h 3min. 52sec.","12/31/2010 10:15","12/31/2010 10:18","Georgia Ave and Fairmont St NW (31207)","11th & Kenyon St NW (31102)","W00381","Registered"
"0h 13min. 44sec.","10/26/2010 8:56","10/26/2010 9:10","7th & T St NW (31109)","20th St & Florida Ave NW (31110)","W00697","Registered"
"0h 6min. 7sec.","12/4/2010 14:44","12/4/2010 14:50","Massachusetts Ave & Dupont Circle NW (31200)","15th & P St NW (31201)","W00169","Registered"
"0h 4min. 5sec.","10/29/2010 19:43","10/29/2010 19:47","Lincoln Park / 13th & East Capitol St NE  (31619)","4th & East Capitol St NE (31618)","W01091","Registered"
"0h 6min. 40sec.","11/22/2010 17:15","11/22/2010 17:21","21st & I St NW (31205)","Georgetown Harbor / 30th St NW (31215)","W00474","Registered"
"0h 6min. 52sec.","12/24/2010 0:56","12/24/2010 1:03","Massachusetts Ave & Dupont Circle NW (31200)","15th & P St NW (31201)","W00235","Registered"
"0h 4min. 18sec.","10/24/2010 12:14","10/24/2010 12:18","14th & R St NW (31202)","7th & T St NW (31109)","W00207","Registered"
"0h 17min. 27sec.","11/16/2010 17:27","11/16/2010 17:45","19th & L St NW (31224)","5th & F St NW (31620)","W00652","Registered"
"0h 51min. 45sec.","10/19/2010 14:53","10/19/2010 15:45","19th St & Constitution Ave NW (31235)","10th St & Constitution Ave NW (31219)","W00899","Casual"
"0h 22min. 30sec.","10/14/2010 19:22","10/14/2010 19:44","19th St & Pennsylvania Ave NW (31100)","Potomac & Pennsylvania Ave SE (31606)","W00545","Registered"
"0h 9min. 17sec.","11/17/2010 19:15","11/17/2010 19:24","14th & Rhode Island Ave NW (31203)","16th & Harvard St NW (31103)","W00775","Registered"
"0h 10min. 42sec.","12/20/2010 7:37","12/20/2010 7:48","Lincoln Park / 13th & East Capitol St NE  (31619)","M St & New Jersey Ave SE (31208)","W00798","Registered"
"0h 19min. 26sec.","11/13/2010 9:53","11/13/2010 10:12","Wisconsin Ave & Macomb St NW (31302)","Massachusetts Ave & Dupont Circle NW (31200)","W00100","Casual"
"0h 5min. 22sec.","10/12/2010 21:31","10/12/2010 21:36","11th & Kenyon St NW (31102)","10th & U St NW (31111)","W00202","Registered"
"0h 20min. 47sec.","10/17/2010 14:32","10/17/2010 14:53","4th St & Massachusetts Ave NW (31604)","Massachusetts Ave & Dupont Circle NW (31200)","W00117","Casual"
"0h 5min. 15sec.","10/22/2010 7:13","10/22/2010 7:18","4th & M St SW (31108)","M St & New Jersey Ave SE (31208)","W00610","Registered"
"0h 10min. 57sec.","12/6/2010 18:15","12/6/2010 18:26","C & O Canal & Wisconsin Ave NW (31225)","19th & L St NW (31224)","W00553","Registered"
"0h 15min. 6sec.","11/13/2010 10:12","11/13/2010 10:27","Eastern Market / 7th & North Carolina Ave SE (31610)","3rd & H St NE (31616)","W00190","Casual"
"0h 6min. 2sec.","11/23/2010 8:25","11/23/2010 8:31","14th & Harvard St NW (31105)","Calvert St & Woodley Pl NW (31106)","W00745","Registered"
"0h 17min. 19sec.","12/7/2010 0:28","12/7/2010 0:46","Florida Ave & R St NW (31503)","Park Rd & Holmead Pl NW (31602)","W00714","Registered"
"0h 6min. 21sec.","11/24/2010 15:16","11/24/2010 15:22","13th St & New York Ave NW (31227)","17th & K St NW [formerly 17th & L St NW] (31213)","W00357","Registered"
"0h 18min. 54sec.","12/10/2010 11:29","12/10/2010 11:48","1st & M St NE (31603)","10th St & Constitution Ave NW (31219)","W00306","Registered"
"0h 35min. 28sec.","10/10/2010 17:35","10/10/2010 18:11","Eastern Market / 7th & North Carolina Ave SE (31610)","Georgia & New Hampshire Ave NW (31400)","W00150","Casual"
"0h 12min. 21sec.","12/9/2010 8:11","12/9/2010 8:24","14th & Harvard St NW (31105)","21st & I St NW (31205)","? (0xAAC5A4C0)","Registered"
"0h 5min. 27sec.","10/7/2010 18:02","10/7/2010 18:07","Eastern Market / 7th & North Carolina Ave SE (31610)","3rd & D St SE (31605)","W00010","Registered"
"0h 22min. 55sec.","10/9/2010 14:18","10/9/2010 14:41","20th & E St NW (31204)","New York Ave & 15th St NW (31222)","W00685","Casual"
"0h 11min. 28sec.","12/20/2010 9:06","12/20/2010 9:18","21st & I St NW (31205)","18th & M St NW (31221)","W00290","Registered"
"0h 4min. 23sec.","10/4/2010 16:47","10/4/2010 16:52","Good Hope Rd & MLK Ave SE (31802)","Anacostia Metro (31801)","W00436","Registered"
"0h 17min. 8sec.","10/14/2010 20:13","10/14/2010 20:30","Massachusetts Ave & Dupont Circle NW (31200)","14th & Harvard St NW (31105)","W00111","Registered"
"0h 16min. 1sec.","12/28/2010 17:34","12/28/2010 17:50","4th St & Massachusetts Ave NW (31604)","13th & H St NE (31611)","W00616","Registered"
"0h 4min. 34sec.","12/10/2010 10:04","12/10/2010 10:08","Convention Center / 7th & M St NW (31223)","5th & F St NW (31620)","W00156","Registered"
"0h 10min. 20sec.","10/7/2010 13:53","10/7/2010 14:04","5th St & K St NW (31600)","14th & V St NW (31101)","W00526","Registered"
"0h 13min. 49sec.","12/20/2010 18:07","12/20/2010 18:21","21st & I St NW (31205)","7th & T St NW (31109)","W01013","Registered"
"0h 2min. 56sec.","10/15/2010 18:22","10/15/2010 18:25","11th & Kenyon St NW (31102)","Park Rd & Holmead Pl NW (31602)","W00443","Registered"
"0h 21min. 36sec.","11/11/2010 22:36","11/11/2010 22:58","21st & I St NW (31205)","11th & Kenyon St NW (31102)","W00617","Casual"
"0h 3min. 19sec.","10/25/2010 19:52","10/25/2010 19:56","15th & Crystal Dr (31003)","20th & Crystal Dr (31002)","W00366","Registered"
"0h 9min. 38sec.","11/8/2010 8:55","11/8/2010 9:05","Eastern Market / 7th & North Carolina Ave SE (31610)","M St & New Jersey Ave SE (31208)","W00715","Registered"
"2h 12min. 55sec.","9/22/2010 11:19","9/22/2010 13:32","23rd & Crystal Dr (31011)","23rd & Crystal Dr (31011)","W00240","Casual"
"0h 14min. 37sec.","10/16/2010 13:40","10/16/2010 13:54","Adams Mill & Columbia Rd NW (31104)","Calvert St & Woodley Pl NW (31106)","W01069","Registered"
"0h 4min. 15sec.","12/14/2010 17:27","12/14/2010 17:32","1st & M St NE (31603)","Eckington Pl & Q St NE (31505)","W00620","Registered"
"0h 11min. 48sec.","12/24/2010 15:56","12/24/2010 16:08","C & O Canal & Wisconsin Ave NW (31225)","15th & P St NW (31201)","W00523","Registered"
"0h 23min. 25sec.","11/5/2010 16:36","11/5/2010 17:00","37th & O St NW / Georgetown University (31236)","34th St & Wisconsin Ave NW (31226)","W00902","Registered"
"0h 13min. 19sec.","12/20/2010 20:38","12/20/2010 20:52","14th & G St NW (31238)","4th & M St SW (31108)","W00225","Registered"
"0h 6min. 13sec.","12/17/2010 9:46","12/17/2010 9:52","15th & P St NW (31201)","21st & M St NW (31212)","W00680","Registered"
"0h 5min. 51sec.","11/23/2010 14:23","11/23/2010 14:29","14th & D St SE (31607)","Potomac & Pennsylvania Ave SE (31606)","W00950","Registered"
"0h 4min. 18sec.","11/9/2010 6:35","11/9/2010 6:39","27th & Crystal Dr (31009)","18th & Bell St (31007)","W01107","Registered"
"5h 41min. 24sec.","10/31/2010 10:12","10/31/2010 15:53","5th St & K St NW (31600)","21st & M St NW (31212)","W00650","Casual"
"0h 19min. 26sec.","10/10/2010 15:55","10/10/2010 16:15","Georgetown Harbor / 30th St NW (31215)","Georgetown Harbor / 30th St NW (31215)","W00569","Casual"
"0h 11min. 14sec.","10/13/2010 10:22","10/13/2010 10:33","5th St & K St NW (31600)","Massachusetts Ave & Dupont Circle NW (31200)","W00102","Casual"
"0h 24min. 26sec.","11/5/2010 15:34","11/5/2010 15:58","8th & H St NW (31228)","Kennedy Center (31211)","W00275","Registered"
"1h 25min. 36sec.","11/17/2010 14:34","11/17/2010 15:59","27th & Crystal Dr (31009)","Massachusetts Ave & Dupont Circle NW (31200)","W00463","Casual"
"0h 13min. 3sec.","10/31/2010 17:19","10/31/2010 17:32","USDA / 12th & Independence Ave SW (31217)","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","W00448","Casual"
"0h 16min. 13sec.","10/25/2010 21:14","10/25/2010 21:30","16th & U St NW (31229)","16th & U St NW (31229)","W00914","Casual"
"0h 9min. 15sec.","11/13/2010 16:35","11/13/2010 16:45","21st & I St NW (31205)","Kennedy Center (31211)","W00807","Casual"
"0h 6min. 17sec.","12/19/2010 12:49","12/19/2010 12:55","Lincoln Park / 13th & East Capitol St NE  (31619)","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","W00798","Registered"
"0h 12min. 45sec.","11/13/2010 22:04","11/13/2010 22:17","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","5th & F St NW (31620)","W00138","Registered"
"0h 6min. 48sec.","12/6/2010 20:45","12/6/2010 20:52","10th & U St NW (31111)","17th & Corcoran St NW (31214)","W00731","Registered"
"0h 27min. 14sec.","10/13/2010 11:36","10/13/2010 12:04","Park Rd & Holmead Pl NW (31602)","14th & R St NW (31202)","W00270","Registered"
"0h 9min. 33sec.","11/23/2010 18:47","11/23/2010 18:57","USDA / 12th & Independence Ave SW (31217)","13th St & New York Ave NW (31227)","W00762","Registered"
"0h 20min. 19sec.","12/1/2010 19:16","12/1/2010 19:36","15th & P St NW (31201)","Eckington Pl & Q St NE (31505)","W00411","Registered"
"0h 13min. 11sec.","10/12/2010 11:38","10/12/2010 11:51","5th St & K St NW (31600)","17th & K St NW [formerly 17th & L St NW] (31213)","W00662","Registered"
"0h 12min. 54sec.","10/7/2010 10:20","10/7/2010 10:33","Van Ness Metro / UDC (31300)","Ward Circle / American University (31301)","W00437","Registered"
"0h 25min. 19sec.","10/29/2010 12:00","10/29/2010 12:25","14th & D St SE (31607)","5th & F St NW (31620)","W00813","Registered"
"0h 11min. 40sec.","10/31/2010 11:50","10/31/2010 12:01","14th & R St NW (31202)","15th & P St NW (31201)","W00649","Registered"
"0h 0min. 56sec.","11/25/2010 12:35","11/25/2010 12:36","3rd & H St NE (31616)","3rd & H St NE (31616)","W00554","Registered"
"0h 24min. 12sec.","10/17/2010 15:59","10/17/2010 16:23","7th & Water St SW / SW Waterfront (31609)","15th & Crystal Dr (31003)","W00043","Registered"
"0h 15min. 42sec.","11/27/2010 20:57","11/27/2010 21:13","Adams Mill & Columbia Rd NW (31104)","16th & U St NW (31229)","W00482","Registered"
"0h 9min. 12sec.","12/13/2010 17:17","12/13/2010 17:26","5th & F St NW (31620)","4th & M St SW (31108)","W01031","Registered"
"0h 6min. 46sec.","10/28/2010 7:12","10/28/2010 7:19","Adams Mill & Columbia Rd NW (31104)","14th & V St NW (31101)","W00562","Registered"
"0h 23min. 4sec.","10/30/2010 17:08","10/30/2010 17:31","19th St & Constitution Ave NW (31235)","US Dept of State / Virginia Ave & 21st St NW (31220)","W00338","Casual"
"0h 4min. 21sec.","11/24/2010 7:49","11/24/2010 7:53","L'Enfant Plaza / 7th & C St SW (31218)","USDA / 12th & Independence Ave SW (31217)","W00831","Registered"
"0h 7min. 43sec.","10/18/2010 9:15","10/18/2010 9:22","16th & Harvard St NW (31103)","20th St & Florida Ave NW (31110)","W00595","Registered"
"0h 5min. 5sec.","12/14/2010 6:25","12/14/2010 6:30","4th & East Capitol St NE (31618)","Columbus Circle / Union Station (31623)","W00994","Registered"
"0h 7min. 25sec.","12/28/2010 16:07","12/28/2010 16:14","18th & Bell St (31007)","S Joyce & Army Navy Dr (31006)","W01089","Registered"
"0h 18min. 37sec.","12/1/2010 18:03","12/1/2010 18:22","19th St & Pennsylvania Ave NW (31100)","34th St & Wisconsin Ave NW (31226)","W00492","Registered"
"0h 14min. 11sec.","11/6/2010 23:21","11/6/2010 23:35","5th St & K St NW (31600)","Massachusetts Ave & Dupont Circle NW (31200)","W00596","Registered"
"0h 11min. 44sec.","11/6/2010 8:21","11/6/2010 8:33","Florida Ave & R St NW (31503)","Massachusetts Ave & Dupont Circle NW (31200)","W00523","Registered"
